Year,Geography,Crime_Severity_Index
2008,Ontario (7),70.68
2009,Ontario (7),68.93
2010,Ontario (7),65.15
2011,Ontario (7),60.7
2012,Ontario (7),58.4
2008,"St.Catharines-Niagara, Ontario",80.07
2009,"St.Catharines-Niagara, Ontario",75.92
2010,"St.Catharines-Niagara, Ontario",69.95
2011,"St.Catharines-Niagara, Ontario",61.09
2012,"St.Catharines-Niagara, Ontario",63.85
2008,"Guelph, Ontario (8)",57.55
2009,"Guelph, Ontario (8)",59.77
2010,"Guelph, Ontario (8)",50.61
2011,"Guelph, Ontario (8)",47.84
2012,"Guelph, Ontario (8)",50.52
2008,"London, Ontario",84.31
2009,"London, Ontario",87.56
2010,"London, Ontario",82.61
2011,"London, Ontario",78.8
2012,"London, Ontario",74.49
2008,"Barrie, Ontario (8)",63.7
2009,"Barrie, Ontario (8)",64.42
2010,"Barrie, Ontario (8)",60.0
2011,"Barrie, Ontario (8)",53.81
2012,"Barrie, Ontario (8)",51.32
2008,"Thunder Bay, Ontario",106.71
2009,"Thunder Bay, Ontario",112.53
2010,"Thunder Bay, Ontario",111.73
2011,"Thunder Bay, Ontario",105.49
2012,"Thunder Bay, Ontario",87.95
2008,Manitoba,129.04
2009,Manitoba,136.4
2010,Manitoba,125.8
2011,Manitoba,114.34
2012,Manitoba,112.41
2008,British Columbia (32),120.86
2009,British Columbia (32),110.63
2010,British Columbia (32),102.68
2011,British Columbia (32),95.15
2012,British Columbia (32),93.35
2008,Yukon,182.76
2009,Yukon,180.81
2010,Yukon,170.85
2011,Yukon,154.78
2012,Yukon,156.69
2008,Northwest Territories (15),340.27
2009,Northwest Territories (15),322.56
2010,Northwest Territories (15),343.47
2011,Northwest Territories (15),336.61
2012,Northwest Territories (15),340.98
2008,Nunavut (15),329.44
2009,Nunavut (15),337.15
2010,Nunavut (15),348.68
2011,Nunavut (15),321.18
2012,Nunavut (15),325.57
